United Kingdom,  Births (1-year)	Last modified: 03 Feb 2025;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1841          249444    262714    512158
1842          252535    265204    517739
1843          256748    270577    527325
1844          263327    277436    540763
1845          265103    278418    543521
1846          279479    293146    572625
1847          264307    275658    539965
1848          274713    288346    563059
1849          283001    295158    578159
1850          290588    302834    593422
1851          300897    314968    615865
1852          304962    319050    624012
1853          298635    313756    612391
1854          310336    324069    634405
1855          356628    371764    728392
1856          371494    387780    759274
1857          373330    393156    766486
1858          370816    388683    759499
1859          389134    407290    796424
1860          385469    404208    789677
1861          392837    410578    803415
1862          400962    418791    819753
1863          408513    428245    836758
1864          417515    435093    852608
1865          421475    439664    861139
1866          424222    443315    867537
1867          431652    450741    882393
1868          442767    459605    902372
1869          433844    452891    886735
1870          444913    463264    908177
1871          447922    465634    913556
1872          462072    482600    944672
1873          465254    484224    949478
1874          479886    498781    978667
1875          476528    497657    974185
1876          497405    517097   1014502
1877          498037    516985   1015022
1878          498431    520248   1018679
1879          493859    512260   1006119
1880          493718    512495   1006213
1881          494913    514900   1009813
1882          497915    517257   1015172
1883          498225    516955   1015180
1884          507047    528860   1035907
1885          500018    520352   1020370
1886          505372    526278   1031650
1887          495304    515445   1010749
1888          492836    510301   1003137
1889          494206    514521   1008727
1890          487206    504257    991463
1891          509714    530429   1040143
1892          502022    520978   1023000
1893          510961    530721   1041682
1894          497783    516873   1014656
1895          515100    533685   1048785
1896          512629    531874   1044503
1897          515563    534997   1050560
1898          518292    535734   1054026
1899          519429    539950   1059379
1900          520272    538191   1058463
1901          520302    541697   1061999
1902          526190    546586   1072776
1903          531480    550316   1081796
1904          528876    549116   1077992
1905          521067    539636   1060703
1906          522686    544400   1067086
1907          513253    533629   1046882
1908          526509    545236   1071745
1909          510953    532188   1043141
1910          500611    520410   1021021
1911          491781    511207   1002988
1912          487592    507935    995527
1913          491783    510623   1002406
1914          492872    510158   1003030
1915          455198    473597    928795
1916          436854    458608    895462
1917          374415    391372    765787
1918          371730    389485    761215
1919          387694    411012    798706
1920          533639    560689   1094328
1921          474045    497970    972015
1922          451357    473383    924740
1923          440170    459960    900130
1924          422340    442989    865329
1925          411627    430778    842405
1926          404019    421155    825174
1927          380776    396744    777520
1928          382845    400207    783052
1929          372504    389459    761963
1930          376612    392627    769239
1931          366275    383699    749974
1932          356219    373860    730079
1933          337416    354144    691560
1934          346390    365453    711843
1935          346129    365297    711426
1936          350923    369206    720129
1937          352118    371661    723779
1938          358543    377030    735573
1939          353449    373183    726632
1940          341846    360029    701875
1941          338509    357217    695726
1942          374434    397417    771851
1943          392916    417608    810524
1944          425301    452997    878298
1945          386077    409791    795868
1946          463635    491631    955266
1947          497816    527611   1025427
1948          438949    466233    905182
1949          415024    440274    855298
1950          396981    421440    818421
1951          386703    409942    796645
1952          385925    406992    792917
1953          390340    413929    804269
1954          386083    408686    794769
1955          383031    406284    789315
1956          401205    423932    825137
1957          413328    438138    851466
1958          422835    447662    870497
1959          425869    452692    878561
1960          445589    472697    918286
1961          458229    486136    944365
1962          473249    502386    975635
1963          481692    508468    990160
1964          492289    522383   1014672
1965          484346    512929    997275
1966          475220    504367    979587
1967          467104    494696    961800
1968          460066    487165    947231
1969          446944    473312    920256
1970          438959    464948    903907
1971          437454    464194    901648
1972          404163    429821    833984
1973          377114    402431    779545
1974          357868    379270    737138
1975          338275    359243    697518
1976          328170    347356    675526
1977          318934    338104    657038
1978          333637    353315    686952
1979          356428    378144    734572
1980          367673    386035    753708
1981          355871    374841    730712
1982          350004    368995    718999
1983          350418    370820    721238
1984          356022    373379    729401
1985          365489    385031    750520
1986          367578    387227    754805
1987          377615    397790    775405
1988          384158    403145    787303
1989          378844    398192    777036
1990          389617    408747    798364
1991          386016    406253    792269
1992          380571    400228    780799
1993          370802    390724    761526
1994          365399    385081    750480
1995          356749    375133    731882
1996          356768    376395    733163
1997          354204    372418    726622
1998          349431    367457    716888
1999          340532    359444    699976
2000          331088    347941    679029
2001          326414    342709    669123
2002          325622    343155    668777
2003          338971    356578    695549
2004          348410    367586    715996
2005          352525    370024    722549
2006          365651    382912    748563
2007          376931    397574    774505
2008          386262    405861    792123
2009          385105    405099    790204
2010          393516    413755    807271
2011          393866    413910    807776
2012          395912    417058    812970
2013          379204    399599    778803
2014          379583    400023    779606
2015          378182    398983    777165
2016          377128    397707    774835
2017          367858    387184    755042
2018          355611    375451    731062
2019          346220    366460    712680
2020          332346    349214    681560
2021          338681    356004    694685
2022          327763    345512    673275
