jaar,gastland,start_datum,eind_datum
1960,France,1960-07-06,1960-07-10
1964,Spain,1964-06-17,1964-06-21
1968,Italy,1968-06-05,1968-06-10
1972,Belgium,1972-06-14,1972-06-18
1976,Yugoslavia,1976-06-16,1976-06-20
1980,Italy,1980-06-11,1980-06-22
1984,France,1984-06-12,1984-06-27
1988,West Germany,1988-06-10,1988-06-25
1992,Sweden,1992-06-10,1992-06-26
1996,England,1996-06-08,1996-06-30
2000,Belgium / Netherlands,2000-06-10,2000-07-02
2004,Portugal,2004-06-12,2004-07-04
2008,Austria/ Switzerland,2008-06-07,2008-06-29
2012,Ukraine / Poland,2012-06-08,2012-07-01
2016,France,2016-06-10,2016-07-10
2020,Europe,2021-06-11,2021-07-11
2024,Germany,2024-06-14,2024-07-14
2028,United Kingdom / Ireland
2032, Italy / Turkey
