id_match,home_team,away_team,home_score,away_score,home_score_total,away_score_total,winner,year,date,round,match_attendance
4025,USSR,Yugoslavia,1.0,1.0,2.0,1.0,USSR,1960,1960-07-10,FINAL,17966.0
4024,Czechoslovakia,France,2.0,0.0,2.0,0.0,Czechoslovakia,1960,1960-07-09,THIRD_PLAY_OFF,9438.0
4023,Czechoslovakia,USSR,0.0,3.0,0.0,3.0,USSR,1960,1960-07-06,SEMIFINAL,25184.0
4022,France,Yugoslavia,4.0,5.0,4.0,5.0,Yugoslavia,1960,1960-07-06,SEMIFINAL,26370.0
3996,Spain,USSR,2.0,1.0,2.0,1.0,Spain,1964,1964-06-21,FINAL,79115.0
3995,Hungary,Denmark,1.0,1.0,3.0,1.0,Hungary,1964,1964-06-20,THIRD_PLAY_OFF,3869.0
3994,Denmark,USSR,0.0,3.0,0.0,3.0,USSR,1964,1964-06-17,SEMIFINAL,38556.0
3993,Spain,Hungary,1.0,1.0,2.0,1.0,Spain,1964,1964-06-17,SEMIFINAL,34713.0
73911,Italy,Yugoslavia,2.0,0.0,2.0,0.0,Italy,1968,1968-06-10,FINAL,32886.0
73910,Italy,Yugoslavia,1.0,1.0,1.0,1.0,,1968,1968-06-08,FINAL,68817.0
3939,England,USSR,2.0,0.0,2.0,0.0,England,1968,1968-06-08,THIRD_PLAY_OFF,68817.0
3937,Yugoslavia,England,1.0,0.0,1.0,0.0,Yugoslavia,1968,1968-06-05,SEMIFINAL,21834.0
3938,Italy,USSR,0.0,0.0,0.0,0.0,,1968,1968-06-05,SEMIFINAL,68582.0
3838,West Germany,USSR,3.0,0.0,3.0,0.0,West Germany,1972,1972-06-18,FINAL,43066.0
3837,Hungary,Belgium,1.0,2.0,1.0,2.0,Belgium,1972,1972-06-17,THIRD_PLAY_OFF,6184.0
3836,Belgium,West Germany,1.0,2.0,1.0,2.0,West Germany,1972,1972-06-14,SEMIFINAL,55601.0
3835,Hungary,USSR,0.0,1.0,0.0,1.0,USSR,1972,1972-06-14,SEMIFINAL,1659.0
3693,Czechoslovakia,West Germany,2.0,2.0,2.0,2.0,Czechoslovakia,1976,1976-06-20,FINAL,30790.0
3692,Netherlands,Yugoslavia,2.0,2.0,3.0,2.0,Netherlands,1976,1976-06-19,THIRD_PLAY_OFF,6766.0
3691,Yugoslavia,West Germany,2.0,2.0,2.0,4.0,West Germany,1976,1976-06-17,SEMIFINAL,50652.0
3690,Czechoslovakia,Netherlands,1.0,1.0,3.0,1.0,Czechoslovakia,1976,1976-06-16,SEMIFINAL,17879.0
3585,Belgium,West Germany,1.0,2.0,1.0,2.0,West Germany,1980,1980-06-22,FINAL,47860.0
3584,Czechoslovakia,Italy,1.0,1.0,1.0,1.0,Czechoslovakia,1980,1980-06-21,THIRD_PLAY_OFF,24652.0
3583,Italy,Belgium,0.0,0.0,0.0,0.0,,1980,1980-06-18,GROUP_STANDINGS,42318.0
3582,Spain,England,1.0,2.0,1.0,2.0,England,1980,1980-06-18,GROUP_STANDINGS,14440.0
3577,Greece,West Germany,0.0,0.0,0.0,0.0,,1980,1980-06-17,GROUP_STANDINGS,13901.0
3576,Netherlands,Czechoslovakia,1.0,1.0,1.0,1.0,,1980,1980-06-17,GROUP_STANDINGS,11889.0
3581,England,Italy,0.0,1.0,0.0,1.0,Italy,1980,1980-06-15,GROUP_STANDINGS,59649.0
3580,Belgium,Spain,2.0,1.0,2.0,1.0,Belgium,1980,1980-06-15,GROUP_STANDINGS,11430.0
3575,Greece,Czechoslovakia,1.0,3.0,1.0,3.0,Czechoslovakia,1980,1980-06-14,GROUP_STANDINGS,7614.0
3574,West Germany,Netherlands,3.0,2.0,3.0,2.0,West Germany,1980,1980-06-14,GROUP_STANDINGS,29889.0
3579,Spain,Italy,0.0,0.0,0.0,0.0,,1980,1980-06-12,GROUP_STANDINGS,46337.0
3578,Belgium,England,1.0,1.0,1.0,1.0,,1980,1980-06-12,GROUP_STANDINGS,15186.0
3573,Netherlands,Greece,1.0,0.0,1.0,0.0,Netherlands,1980,1980-06-11,GROUP_STANDINGS,14990.0
3572,Czechoslovakia,West Germany,0.0,1.0,0.0,1.0,West Germany,1980,1980-06-11,GROUP_STANDINGS,10500.0
3463,France,Spain,2.0,0.0,2.0,0.0,France,1984,1984-06-27,FINAL,47368.0
3462,Denmark,Spain,0.0,0.0,1.0,1.0,Spain,1984,1984-06-24,SEMIFINAL,47843.0
3461,France,Portugal,1.0,1.0,3.0,2.0,France,1984,1984-06-23,SEMIFINAL,54848.0
3460,Portugal,Romania,1.0,0.0,1.0,0.0,Portugal,1984,1984-06-20,GROUP_STANDINGS,24464.0
3459,West Germany,Spain,0.0,1.0,0.0,1.0,Spain,1984,1984-06-20,GROUP_STANDINGS,47691.0
3454,Denmark,Belgium,3.0,2.0,3.0,2.0,Denmark,1984,1984-06-19,GROUP_STANDINGS,36911.0
3453,France,Yugoslavia,3.0,2.0,3.0,2.0,France,1984,1984-06-19,GROUP_STANDINGS,47510.0
3458,Portugal,Spain,1.0,1.0,1.0,1.0,,1984,1984-06-17,GROUP_STANDINGS,24364.0
3457,West Germany,Romania,2.0,1.0,2.0,1.0,West Germany,1984,1984-06-17,GROUP_STANDINGS,31787.0
3452,Denmark,Yugoslavia,5.0,0.0,5.0,0.0,Denmark,1984,1984-06-16,GROUP_STANDINGS,34736.0
3451,France,Belgium,5.0,0.0,5.0,0.0,France,1984,1984-06-16,GROUP_STANDINGS,51359.0
3456,Romania,Spain,1.0,1.0,1.0,1.0,,1984,1984-06-14,GROUP_STANDINGS,16972.0
