home_team,away_team,home_score,away_score,home_penalty,away_penalty,Attendance,Round,Date,Host,Year,Winner
Argentina,France,3,3,4.0,2.0,88966,Final,2022-12-18,Qatar,2022,Argentina
Croatia,Morocco,2,1,,,44137,Third-place match,2022-12-17,Qatar,2022,Croatia
France,Morocco,2,0,,,68294,Semi-finals,2022-12-14,Qatar,2022,France
Argentina,Croatia,3,0,,,88966,Semi-finals,2022-12-13,Qatar,2022,Argentina
Morocco,Portugal,1,0,,,44198,Quarter-finals,2022-12-10,Qatar,2022,Morocco
England,France,1,2,,,68895,Quarter-finals,2022-12-10,Qatar,2022,France
Croatia,Brazil,1,1,4.0,2.0,43893,Quarter-finals,2022-12-09,Qatar,2022,Croatia
Netherlands,Argentina,2,2,3.0,4.0,88235,Quarter-finals,2022-12-09,Qatar,2022,Argentina
Morocco,Spain,0,0,3.0,0.0,44667,Round of 16,2022-12-06,Qatar,2022,Morocco
Portugal,Switzerland,6,1,,,83720,Round of 16,2022-12-06,Qatar,2022,Portugal
Japan,Croatia,1,1,1.0,3.0,42523,Round of 16,2022-12-05,Qatar,2022,Croatia
Brazil,Korea Republic,4,1,,,43847,Round of 16,2022-12-05,Qatar,2022,Brazil
France,Poland,3,1,,,40989,Round of 16,2022-12-04,Qatar,2022,France
England,Senegal,3,0,,,65985,Round of 16,2022-12-04,Qatar,2022,England
Netherlands,United States,3,1,,,44846,Round of 16,2022-12-03,Qatar,2022,Netherlands
Argentina,Australia,2,1,,,45032,Round of 16,2022-12-03,Qatar,2022,Argentina
Korea Republic,Portugal,2,1,,,44097,Group stage,2022-12-02,Qatar,2022,Korea Republic
Ghana,Uruguay,0,2,,,43443,Group stage,2022-12-02,Qatar,2022,Uruguay
Cameroon,Brazil,1,0,,,85986,Group stage,2022-12-02,Qatar,2022,Cameroon
Serbia,Switzerland,2,3,,,41378,Group stage,2022-12-02,Qatar,2022,Switzerland
Canada,Morocco,1,2,,,43102,Group stage,2022-12-01,Qatar,2022,Morocco
Croatia,Belgium,0,0,,,43984,Group stage,2022-12-01,Qatar,2022,Draw
Costa Rica,Germany,2,4,,,67054,Group stage,2022-12-01,Qatar,2022,Germany
Japan,Spain,2,1,,,44851,Group stage,2022-12-01,Qatar,2022,Japan
Australia,Denmark,1,0,,,41232,Group stage,2022-11-30,Qatar,2022,Australia
Tunisia,France,1,0,,,43627,Group stage,2022-11-30,Qatar,2022,Tunisia
Saudi Arabia,Mexico,1,2,,,84985,Group stage,2022-11-30,Qatar,2022,Mexico
Poland,Argentina,0,2,,,44089,Group stage,2022-11-30,Qatar,2022,Argentina
Ecuador,Senegal,1,2,,,44569,Group stage,2022-11-29,Qatar,2022,Senegal
Netherlands,Qatar,2,0,,,66784,Group stage,2022-11-29,Qatar,2022,Netherlands
IR Iran,United States,0,1,,,42127,Group stage,2022-11-29,Qatar,2022,United States
Wales,England,0,3,,,44297,Group stage,2022-11-29,Qatar,2022,England
Cameroon,Serbia,3,3,,,39789,Group stage,2022-11-28,Qatar,2022,Draw
Korea Republic,Ghana,2,3,,,43983,Group stage,2022-11-28,Qatar,2022,Ghana
Brazil,Switzerland,1,0,,,43649,Group stage,2022-11-28,Qatar,2022,Brazil
Portugal,Uruguay,2,0,,,88668,Group stage,2022-11-28,Qatar,2022,Portugal
Japan,Costa Rica,0,1,,,41479,Group stage,2022-11-27,Qatar,2022,Costa Rica
Belgium,Morocco,0,2,,,43738,Group stage,2022-11-27,Qatar,2022,Morocco
Croatia,Canada,4,1,,,44374,Group stage,2022-11-27,Qatar,2022,Croatia
Spain,Germany,1,1,,,68895,Group stage,2022-11-27,Qatar,2022,Draw
Tunisia,Australia,0,1,,,41823,Group stage,2022-11-26,Qatar,2022,Australia
Poland,Saudi Arabia,2,0,,,44259,Group stage,2022-11-26,Qatar,2022,Poland
France,Denmark,2,1,,,42860,Group stage,2022-11-26,Qatar,2022,France
Argentina,Mexico,2,0,,,88966,Group stage,2022-11-26,Qatar,2022,Argentina
Wales,IR Iran,0,2,,,40875,Group stage,2022-11-25,Qatar,2022,IR Iran
Qatar,Senegal,1,3,,,41797,Group stage,2022-11-25,Qatar,2022,Senegal
Netherlands,Ecuador,1,1,,,44833,Group stage,2022-11-25,Qatar,2022,Draw
England,United States,0,0,,,68463,Group stage,2022-11-25,Qatar,2022,Draw
Switzerland,Cameroon,1,0,,,39089,Group stage,2022-11-24,Qatar,2022,Switzerland
Uruguay,Korea Republic,0,0,,,41663,Group stage,2022-11-24,Qatar,2022,Draw
Portugal,Ghana,3,2,,,42662,Group stage,2022-11-24,Qatar,2022,Portugal
Brazil,Serbia,2,0,,,88103,Group stage,2022-11-24,Qatar,2022,Brazil
Morocco,Croatia,0,0,,,59407,Group stage,2022-11-23,Qatar,2022,Draw
Germany,Japan,1,2,,,42608,Group stage,2022-11-23,Qatar,2022,Japan
Spain,Costa Rica,7,0,,,40013,Group stage,2022-11-23,Qatar,2022,Spain
Belgium,Canada,1,0,,,40432,Group stage,2022-11-23,Qatar,2022,Belgium
Argentina,Saudi Arabia,1,2,,,88012,Group stage,2022-11-22,Qatar,2022,Saudi Arabia
Denmark,Tunisia,0,0,,,42925,Group stage,2022-11-22,Qatar,2022,Draw
Mexico,Poland,0,0,,,39369,Group stage,2022-11-22,Qatar,2022,Draw
France,Australia,4,1,,,40875,Group stage,2022-11-22,Qatar,2022,France
England,IR Iran,6,2,,,45334,Group stage,2022-11-21,Qatar,2022,England
Senegal,Netherlands,0,2,,,41721,Group stage,2022-11-21,Qatar,2022,Netherlands
United States,Wales,1,1,,,43418,Group stage,2022-11-21,Qatar,2022,Draw
Qatar,Ecuador,0,2,,,67372,Group stage,2022-11-20,Qatar,2022,Ecuador
France,Croatia,4,2,,,78011,Final,2018-07-15,Russia,2018,France
Belgium,England,2,0,,,64406,Third-place match,2018-07-14,Russia,2018,Belgium
Croatia,England,2,1,,,78011,Semi-finals,2018-07-11,Russia,2018,Croatia
France,Belgium,1,0,,,64286,Semi-finals,2018-07-10,Russia,2018,France
Sweden,England,0,2,,,39991,Quarter-finals,2018-07-07,Russia,2018,England
Russia,Croatia,2,2,3.0,4.0,44287,Quarter-finals,2018-07-07,Russia,2018,Croatia
Uruguay,France,0,2,,,43319,Quarter-finals,2018-07-06,Russia,2018,France
Brazil,Belgium,1,2,,,42873,Quarter-finals,2018-07-06,Russia,2018,Belgium
Sweden,Switzerland,1,0,,,64042,Round of 16,2018-07-03,Russia,2018,Sweden
Colombia,England,1,1,3.0,4.0,44190,Round of 16,2018-07-03,Russia,2018,England
Brazil,Mexico,2,0,,,41970,Round of 16,2018-07-02,Russia,2018,Brazil
Belgium,Japan,3,2,,,41466,Round of 16,2018-07-02,Russia,2018,Belgium
Spain,Russia,1,1,3.0,4.0,78011,Round of 16,2018-07-01,Russia,2018,Russia
Croatia,Denmark,1,1,3.0,2.0,40851,Round of 16,2018-07-01,Russia,2018,Croatia
France,Argentina,4,3,,,42873,Round of 16,2018-06-30,Russia,2018,France
Uruguay,Portugal,2,1,,,44287,Round of 16,2018-06-30,Russia,2018,Uruguay
Japan,Poland,0,1,,,42189,Group stage,2018-06-28,Russia,2018,Poland
Senegal,Colombia,0,1,,,41970,Group stage,2018-06-28,Russia,2018,Colombia
England,Belgium,0,1,,,33973,Group stage,2018-06-28,Russia,2018,Belgium
Panama,Tunisia,1,2,,,37168,Group stage,2018-06-28,Russia,2018,Tunisia
Korea Republic,Germany,2,0,,,41835,Group stage,2018-06-27,Russia,2018,Korea Republic
Mexico,Sweden,0,3,,,33061,Group stage,2018-06-27,Russia,2018,Sweden
