country,year,percentage_yearly,percentage_monthly
Sweden,2016,1.11,-1.06
Romania,2000,0.02,-3.92
Italy,2020,,-13.74
Belgium,2000,,-3.29
Poland,2012,4.99,-6.76
France,2008,2.14,-6.74
Croatia,1996,-10.29,-3.06
Hungary,1964,,
Netherlands,1988,,
Romania,1984,,
Czechia,2012,4.83,-6.71
Italy,1968,,
Denmark,1992,0.77,-1.36
Denmark,1996,-1.43,-1.12
Switzerland,1996,,
Czechia,2016,-0.05,-4.69
Spain,1980,1.66,-5.46
Italy,2000,2.95,-9.46
Hungary,1972,,-3.79
Wales,2020,,
Wales,2016,,
Slovakia,2020,1.73,-5.9
England,1980,,
Germany,2012,3.14,-8.36
Poland,2024,,
Germany,1992,-1.03,-0.54
Portugal,1984,4.52,-6.43
West Germany,1984,,
Switzerland,2008,0.61,-5.28
Slovenia,2000,4.03,-6.09
Sweden,2020,1.49,-1.35
Portugal,1996,-0.13,-5.06
Yugoslavia,2000,,
Italy,1988,3.98,-8.92
Denmark,2000,1.1,-3.78
Belgium,2016,0.48,-5.36
Belgium,2020,,-4.52
Croatia,2008,0.66,-5.18
Portugal,2016,-1.97,-2.67
Portugal,2020,0.85,-6.34
Switzerland,2020,,-10.84
Sweden,2012,0.66,-1.35
Hungary,2016,-0.48,-4.89
Turkey,2016,,
Russia,2020,1.81,-3.13
Sweden,2004,3.84,-1.21
Romania,2016,1.14,-6.3
Denmark,2020,,-7.41
France,2004,,
Netherlands,2000,3.36,-5.24
France,2020,,
Italy,2008,-0.39,-5.01
Italy,2024,,
Yugoslavia,1976,,
Poland,2016,-4.53,-0.64
Netherlands,1976,3.98,-3.28
Spain,2008,0.62,-5.31
Switzerland,2016,-0.07,-5.33
Germany,2016,0.09,-7.04
Portugal,2000,1.13,-5.87
Slovenia,2024,,
Italy,2016,-1.74,-8.08
France,1996,,-6.69
France,1984,0.65,-5.76
Northern Ireland,2016,,
Belgium,2024,,
England,2020,,
Italy,2004,-5.12,-4.62
Portugal,2004,-0.17,-5.29
Portugal,2024,,
Poland,2008,-3.45,-2.35
Latvia,2004,-1.98,-0.07
Turkey,2024,,
Netherlands,2004,-0.66,-3.43
Germany,2008,1.64,-5.99
Netherlands,1992,3.14,-4.33
Netherlands,2008,-1.08,-5.4
Netherlands,1980,-2.85,-2.35
France,1992,2.96,-6.31
Turkey,2008,,
Russia,1972,,
Italy,2012,,-10.65
Belgium,1984,1.03,-4.18
Turkey,2020,,
Spain,1988,,
Italy,1996,-1.36,-8.49
Greece,2008,,-9.54
Russia,1964,,
Slovakia,2024,,
France,1960,,
Russia,2016,5.06,-7.77
Iceland,2016,0.05,-6.51
Portugal,2012,3.7,-9.86
Switzerland,2024,,
Denmark,2024,,
Ireland,2016,1.55,-4.96
Germany,1996,,-3.23
Scotland,1996,,
Spain,2020,1.06,-6.06
Georgia,2024,,
Spain,1984,,-3.53
England,2012,,
Poland,2020,,-6.69
Spain,2012,4.92,-7.91
Czechia,1996,4.31,-2.72
Croatia,2024,,
Albania,2024,,
Ukraine,2020,,
Yugoslavia,1968,,
Belgium,1980,-0.17,-3.07
Germany,2020,5.1,-11.11
Austria,2016,-2.48,-5.06
England,1968,,
Czechia,2008,1.72,-6.95
Hungary,2024,,
West Germany,1980,,
England,1996,,
England,2024,,
France,2012,3.13,-7.43
West Germany,1972,,
Ukraine,2016,2.3,-2.8
Greece,2012,5.36,-11.25
France,2024,,
Netherlands,1996,,
France,2000,-0.21,-5.44
Denmark,1984,0.84,-2.52
Turkey,1996,,
